X1,X2,X3,X4,X5,X6,X5*X6,Y
3,3,1,3,3,4,12,1
4,4,3,4,2,4,8,1
5,1,2,4,4,5,20,0
5,5,5,2,5,5,25,0
5,3,3,3,5,3,15,0
5,3,3,3,3,5,15,1
4,2,4,5,4,3,12,0
5,4,5,5,5,4,20,1
5,1,5,5,5,5,25,1
5,2,4,3,4,5,20,1
4,3,3,4,2,4,8,0
4,2,3,3,4,4,16,0
4,3,3,4,4,4,16,1
3,1,2,2,1,3,3,0
5,1,3,3,4,4,16,1
4,2,4,3,2,4,8,1
4,3,2,4,4,4,16,1
5,2,2,4,4,5,20,0
5,5,5,5,5,5,25,1
5,1,5,5,5,5,25,1
5,3,3,4,4,5,20,1
5,1,4,3,5,5,25,1
3,1,3,2,1,2,2,0
4,3,4,4,2,4,8,0
5,5,1,1,5,1,5,1
3,4,5,4,5,4,20,0
5,2,3,3,4,5,20,0
5,3,4,3,4,5,20,1
5,3,4,4,4,4,16,1
5,4,4,4,4,5,20,1
5,3,3,4,4,5,20,0
5,2,4,3,4,5,20,1
3,2,3,3,4,4,16,0
4,2,4,4,4,4,16,0
4,4,4,2,5,5,25,0
4,3,3,4,2,4,8,1
4,1,4,4,4,4,16,0
5,4,3,3,3,5,15,0
5,4,5,4,5,4,20,1
3,1,2,4,3,5,15,1
3,2,4,4,4,5,20,1
5,2,5,5,5,3,15,1
5,3,5,4,5,5,25,0
5,5,5,5,5,5,25,1
4,1,3,1,1,4,4,1
4,1,1,3,4,4,16,0
4,3,2,4,3,4,12,1
5,2,2,4,5,5,25,1
5,2,3,3,2,5,10,0
5,3,4,3,4,5,20,1
5,3,2,4,4,4,16,1
4,3,4,4,3,4,12,1
5,4,3,3,3,5,15,0
5,2,3,4,4,5,20,1
4,2,3,4,3,3,9,1
3,2,4,4,4,5,20,1
5,3,3,4,4,5,20,1
5,3,4,5,4,5,20,0
3,2,3,5,4,3,12,0
4,3,5,5,5,4,20,0
5,4,4,4,4,5,20,1
5,1,5,3,5,5,25,1
5,3,3,3,5,3,15,1
5,2,4,4,5,5,25,0
3,3,1,3,3,4,12,1
4,4,4,4,1,3,3,0
3,3,3,3,3,4,12,0
4,1,3,4,4,4,16,1
5,3,5,5,4,5,20,1
4,3,3,4,4,5,20,0
4,3,3,4,3,4,12,1
5,3,4,3,4,3,12,1
1,1,1,3,1,4,4,0
5,3,4,4,4,5,20,1
5,1,3,3,4,4,16,1
5,1,1,5,3,5,15,0
5,1,3,4,5,5,25,1
5,2,3,3,2,5,10,1
4,4,4,4,3,4,12,0
3,3,2,4,4,4,16,0
5,3,3,4,4,4,16,0
4,3,2,3,2,4,8,0
3,3,1,3,2,3,6,0
5,2,3,4,2,5,10,1
4,1,3,4,4,3,12,0
4,2,4,4,4,4,16,0
5,2,5,5,5,5,25,1
5,2,3,4,4,3,12,1
4,3,2,4,3,4,12,1
4,1,3,4,4,4,16,1
5,2,3,3,3,5,15,0
3,3,3,5,5,5,25,1
4,4,3,4,4,4,16,0
4,2,3,3,4,4,16,1
4,1,3,5,3,5,15,0
3,4,3,3,2,3,6,0
4,3,3,3,3,5,15,0
3,4,4,5,1,3,3,1
5,3,3,3,2,5,10,0
3,3,3,4,2,4,8,0
4,5,5,5,1,3,3,0
4,3,3,3,3,4,12,1
4,1,3,3,4,3,12,0
5,1,3,3,4,4,16,1
5,2,4,2,2,4,8,1
3,2,4,3,4,4,16,1
4,1,3,3,3,4,12,0
